               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11132,            0.014912,             0.07546,           0.0047341,             0.28646,           0.0087419,            0.001463,            0.089755,             0.01189,            0.075412,              0.0937,              0.0007,              0.0007
                   1,               0.095,            0.019478,            0.068847,           0.0079809,             0.60313,            0.015833,           0.0030932,            0.071367,            0.014144,            0.063179,            0.086497,            0.001497,            0.001497
                   2,            0.083974,            0.023789,            0.058361,           0.0096943,             0.97604,            0.031212,           0.0074203,             0.06739,            0.014591,            0.053575,            0.079291,           0.0022909,           0.0022909
                   3,            0.076626,            0.024424,            0.049789,             0.23471,             0.28281,             0.19047,            0.069616,            0.060481,            0.013673,            0.044403,            0.072082,           0.0030816,           0.0030816
                   4,            0.070363,            0.022779,            0.041309,             0.32317,              0.3399,             0.28531,            0.077169,            0.062588,             0.01283,             0.04253,            0.064869,           0.0038691,           0.0038691
                   5,            0.065584,             0.01977,            0.036548,             0.37066,             0.53936,              0.3879,             0.12318,            0.071453,            0.014584,            0.041109,            0.057653,           0.0046535,           0.0046535
                   6,            0.068207,            0.018589,             0.03489,             0.39739,             0.73322,             0.37734,            0.094522,            0.065883,            0.015382,            0.039175,            0.050435,           0.0054347,           0.0054347
                   7,            0.067998,            0.016772,            0.033652,              0.4428,             0.82749,             0.48457,             0.20945,            0.064346,            0.013295,            0.035698,            0.043213,           0.0062127,           0.0062127
                   8,            0.071704,             0.01698,            0.033009,             0.35736,             0.74531,             0.41182,             0.14709,            0.066146,            0.011288,            0.033768,            0.035988,           0.0069875,           0.0069875
                   9,            0.066688,             0.01634,            0.032732,             0.15902,             0.71385,             0.17951,            0.055702,            0.073026,           0.0099199,             0.03282,            0.028759,           0.0077592,           0.0077592
                  10,             0.07352,            0.015515,            0.032352,             0.16279,             0.72254,             0.18264,            0.063188,            0.069971,           0.0089282,             0.03282,            0.021528,           0.0085277,           0.0085277
                  11,             0.06996,            0.014205,            0.031888,             0.28447,             0.73174,             0.33181,              0.1329,            0.060091,           0.0089562,            0.031746,            0.014293,           0.0092931,           0.0092931
                  12,            0.068438,            0.015651,            0.031722,             0.26853,             0.69792,             0.30509,            0.079832,            0.069284,           0.0081153,            0.032313,           0.0097624,           0.0097624,           0.0097624
                  13,            0.073841,            0.014454,            0.031181,             0.24511,             0.74687,             0.30541,            0.097818,            0.059774,           0.0085362,            0.031223,           0.0097624,           0.0097624,           0.0097624
                  14,            0.061834,             0.01694,            0.031885,             0.30857,             0.79086,             0.39389,             0.14553,             0.05777,           0.0081484,            0.031755,           0.0097426,           0.0097426,           0.0097426
                  15,            0.064041,            0.014889,            0.030994,             0.32133,             0.86507,             0.42176,             0.14919,            0.050785,           0.0083392,            0.031592,           0.0097228,           0.0097228,           0.0097228
                  16,            0.063086,            0.015142,            0.030245,             0.34745,             0.93437,             0.46508,             0.18334,            0.042223,           0.0084194,            0.030338,            0.009703,            0.009703,            0.009703
                  17,             0.05666,            0.015863,            0.030267,             0.37205,             0.82135,             0.49264,             0.19855,            0.053695,           0.0081377,            0.030212,           0.0096832,           0.0096832,           0.0096832
